date_jst,BTC,GOLD,US10Y,SP500
2022-04-25 09:00:00+09:00,0.006321,0.082110,-2.045362,-0.450503
2022-04-26 09:00:00+09:00,-0.171358,0.463936,-1.591379,-0.936750
2022-04-27 09:00:00+09:00,-0.104645,0.741954,-1.891525,-0.794625
2022-04-28 09:00:00+09:00,-0.114132,0.883350,-1.994775,-0.781097
2022-04-29 09:00:00+09:00,-0.230490,1.138592,-2.143882,-1.428811
2022-04-30 09:00:00+09:00,-0.278767,1.130700,-2.123317,-1.416590
2022-05-01 09:00:00+09:00,-0.260802,0.985875,-2.102983,-1.722753
2022-05-02 09:00:00+09:00,-0.272836,0.300216,-2.269927,-1.725728
2022-05-03 09:00:00+09:00,-0.189766,0.265796,-2.270402,-1.784636
2022-05-04 09:00:00+09:00,-0.047504,0.318739,-1.916773,-0.839637
2022-05-05 09:00:00+09:00,-0.601159,0.354687,-1.971765,-1.549253
2022-05-06 09:00:00+09:00,-0.630124,0.442611,-2.127867,-1.631001
2022-05-07 09:00:00+09:00,-0.721651,0.436567,-2.106550,-1.616198
2022-05-08 09:00:00+09:00,-0.894708,0.239836,-2.093977,-1.539862
2022-05-09 09:00:00+09:00,-1.154944,-0.164205,-1.751915,-2.191727
2022-05-10 09:00:00+09:00,-1.107638,-0.512072,-1.677428,-2.351086
2022-05-11 09:00:00+09:00,-1.203532,-0.362945,-1.186971,-2.294315
2022-05-12 09:00:00+09:00,-1.132732,-0.810392,-1.399582,-1.988014
2022-05-13 09:00:00+09:00,-1.099520,-1.030324,-1.553613,-1.592364
2022-05-14 09:00:00+09:00,-1.031507,-1.033137,-1.542194,-1.578366
2022-05-15 09:00:00+09:00,-0.959678,-1.383280,-1.313396,-1.502732
2022-05-16 09:00:00+09:00,-1.144952,-1.136877,-1.076597,-1.802247
2022-05-17 09:00:00+09:00,-1.070659,-1.279343,-1.375856,-1.481605
2022-05-18 09:00:00+09:00,-1.014163,-1.696389,-1.309038,-1.783218
2022-05-19 09:00:00+09:00,-0.862864,-1.346017,-1.288688,-1.744069
2022-05-20 09:00:00+09:00,-0.943092,-1.343302,-1.131720,-1.723913
2022-05-21 09:00:00+09:00,-0.824820,-1.348420,-1.123431,-1.706444
2022-05-22 09:00:00+09:00,-0.666407,-1.351362,-1.115553,-1.689246
2022-05-23 09:00:00+09:00,-0.832323,-1.368872,-1.299821,-1.224561
2022-05-24 09:00:00+09:00,-0.723272,-1.184507,-0.846043,-1.047193
2022-05-25 09:00:00+09:00,-0.787837,-1.615876,-0.850887,-1.126669
2022-05-26 09:00:00+09:00,-0.854401,-1.112232,-0.851131,-1.157446
2022-05-27 09:00:00+09:00,-0.889481,-1.059552,-0.796827,-0.750448
2022-05-28 09:00:00+09:00,-0.788387,-1.057937,-0.790289,-0.744004
2022-05-29 09:00:00+09:00,-1.023882,-1.220633,-1.158080,-0.697137
2022-05-30 09:00:00+09:00,-0.917333,-1.740155,-1.467852,-0.430328
2022-05-31 09:00:00+09:00,-0.885614,-1.578281,-1.306432,-0.839499
2022-06-01 09:00:00+09:00,-0.942882,-1.720471,-1.623731,-0.869861
2022-06-02 09:00:00+09:00,-0.710726,-1.784010,-1.882140,-0.426185
2022-06-03 09:00:00+09:00,-0.776980,-2.026106,-1.926662,-0.697785
2022-06-04 09:00:00+09:00,-0.704670,-2.008860,-1.908265,-0.691877
2022-06-05 09:00:00+09:00,-0.671901,-2.306658,-1.754171,-0.179270
2022-06-06 09:00:00+09:00,-0.596153,-2.823026,-1.770430,0.004314
2022-06-07 09:00:00+09:00,-0.790824,-2.132070,-1.426593,-0.268294
2022-06-08 09:00:00+09:00,-0.714179,-2.193980,-1.386533,-0.377541
2022-06-09 09:00:00+09:00,-0.678764,-2.045469,-1.394704,-0.562309
2022-06-10 09:00:00+09:00,-0.756887,-1.771577,-1.698779,-1.046390
2022-06-11 09:00:00+09:00,-0.745464,-1.759262,-1.683213,-1.039148
2022-06-12 09:00:00+09:00,-0.959054,-1.500178,-1.261825,-0.911093
2022-06-13 09:00:00+09:00,-1.254998,-1.651365,-1.806108,-1.857808
2022-06-14 09:00:00+09:00,-1.339883,-1.632440,-1.992607,-2.218786
2022-06-15 09:00:00+09:00,-1.299097,-1.923528,-1.478887,-2.156132
2022-06-16 09:00:00+09:00,-1.479338,-1.419438,-1.353215,-2.744320
2022-06-17 09:00:00+09:00,-1.477113,-1.530872,-1.332167,-2.663856
2022-06-18 09:00:00+09:00,-1.539685,-1.525992,-1.320799,-2.616129
2022-06-19 09:00:00+09:00,-1.413888,-1.524882,-0.894854,-2.564880
2022-06-20 09:00:00+09:00,-1.451583,-1.435020,-0.711601,-2.664035
2022-06-21 09:00:00+09:00,-1.456196,-1.614466,-1.085907,-2.150902
2022-06-22 09:00:00+09:00,-1.539746,-1.868965,-0.495912,-2.321519
2022-06-23 09:00:00+09:00,-1.474038,-1.867295,0.031361,-2.231676
2022-06-24 09:00:00+09:00,-1.473557,-1.846137,-0.082932,-1.815585
2022-06-25 09:00:00+09:00,-1.534203,-1.834056,-0.079629,-1.795943
2022-06-26 09:00:00+09:00,-1.586002,-1.677127,-0.151895,-1.869251
2022-06-27 09:00:00+09:00,-1.633773,-1.443305,-0.497259,-2.040288
2022-06-28 09:00:00+09:00,-1.667841,-1.696383,-0.578613,-2.188492
2022-06-29 09:00:00+09:00,-1.650902,-1.882485,-0.374150,-1.975066
2022-06-30 09:00:00+09:00,-1.708246,-1.667487,0.096269,-2.100580
2022-07-01 09:00:00+09:00,-1.738657,-1.710317,0.453690,-1.946748
2022-07-02 09:00:00+09:00,-1.762774,-1.696315,0.454072,-1.924065
2022-07-03 09:00:00+09:00,-1.761330,-1.782409,0.476569,-1.998474
2022-07-04 09:00:00+09:00,-1.646517,-1.703914,0.880285,-1.823837
2022-07-05 09:00:00+09:00,-1.553914,-2.034547,1.121291,-1.667259
2022-07-06 09:00:00+09:00,-1.527709,-2.434810,0.913661,-1.658862
2022-07-07 09:00:00+09:00,-1.372350,-2.440160,0.875117,-1.429126
2022-07-08 09:00:00+09:00,-1.381832,-2.380284,0.668480,-1.427137
2022-07-09 09:00:00+09:00,-1.365682,-2.349220,0.667987,-1.414959
2022-07-10 09:00:00+09:00,-1.301724,-2.343211,0.828303,-1.191715
